igralec,polozaj
175254,CF
175254,ST
175379,LM
175379,RM
175895,CAM
175895,CDM
175895,CM
175932,CB
175932,LB
175932,RB
175943,CF
175943,ST
176009,CAM
176009,CDM
176009,CM
176048,ST
176071,CDM
176104,CAM
176104,RW
176137,ST
176237,ST
176266,CDM
176285,CB
176376,LM
176376,LW
176376,ST
176377,CB
176481,ST
176483,CB
176495,CF
176495,LW
176495,ST
176526,GK
176550,GK
176553,CDM
176553,CM
176571,RW
176571,ST
176580,ST
176600,ST
176608,CAM
176608,RM
176608,RW
176619,ST
176630,GK
176635,CAM
176635,RW
176676,LB
176693,CB
176717,CB
176731,CDM
176731,CM
176731,ST
176733,CF
176733,ST
176772,GK
176794,CF
176794,ST
176841,ST
176894,CAM
176894,CM
176915,CDM
176915,CM
176919,GK
176930,CDM
176930,CM
176944,CDM
176944,CM
176993,CAM
176993,LW
176993,ST
176994,GK
177003,CM
177019,CB
177019,CDM
177134,ST
177273,CB
177273,RB
177280,CB
177299,GK
177326,CAM
177326,LM
177358,CDM
177358,CM
177388,CAM
177388,LW
177390,CDM
177390,CM
177392,ST
177413,CDM
177413,CM
177448,CB
177448,CDM
177448,CM
177457,CDM
177457,CM
177457,RB
177458,CB
177475,GK
177481,LB
177482,CDM
177482,CM
177525,LB
177525,RB
177525,RM
177537,LM
177537,RM
177578,CB
177604,LB
177610,CB
177610,CDM
177621,GK
177633,ST
177644,GK
177683,GK
177712,LM
177712,RM
177712,RWB
177723,GK
177765,ST
177766,LB
177766,LWB
177782,CAM
177782,CDM
177782,CM
177790,CB
177790,RB
177896,CAM
177896,CDM
177896,CM
177922,LM
177983,CB
178005,GK
178007,CDM
178007,CM
178031,CB
178051,CDM
178051,CM
178086,GK
178087,CAM
178088,CAM
178088,RM
178090,CAM
178090,LM
178091,ST
178160,CM
178213,CDM
178213,CM
178224,ST
178250,CDM
178250,CM
178253,CM
178255,CB
178255,CDM
178310,CB
178310,RB
178311,ST
178322,LB
178322,RB
178322,RM
178372,CB
178372,RB
178415,CM
178416,LM
178416,RM
178418,CB
178418,LB
178424,LWB
178509,ST
178518,CAM
178518,CF
178518,CM
178562,CDM
178562,CM
178566,GK
178567,LB
178571,GK
178603,CB
178614,CB
178616,CAM
178616,CM
178625,CDM
178750,GK
179516,ST
179527,ST
179528,CDM
179528,CM
179546,CAM
179546,LM
179546,RM
179551,LW
