igralec,polozaj
199912,LW
199914,CDM
199914,CM
199915,CB
199935,CDM
199935,CM
199960,CAM
199960,CM
199960,LM
199982,CDM
199982,CM
199986,CB
199986,LB
199986,RB
199987,GK
200054,CDM
200054,CM
200094,CDM
200094,CM
200104,CF
200104,LM
200108,LB
200110,GK
200138,CB
200145,CDM
200155,CAM
200155,CM
200159,GK
200197,ST
200206,CAM
200206,CDM
200212,GK
200215,CDM
200215,CM
200223,CDM
200223,CM
200228,CB
200260,RW
200275,LM
200302,CDM
200302,CM
200315,LM
200315,RM
200316,GK
200318,CAM
200318,CF
200318,ST
200322,CDM
200322,CM
200332,GK
200353,CB
200389,GK
200408,CB
200429,LM
200429,RM
200429,ST
200433,ST
200438,CAM
200438,RM
200443,LB
200446,ST
200454,ST
200458,CB
200458,LB
200463,GK
200473,RM
200473,ST
200478,CAM
200478,CM
200478,RM
200519,CB
200529,LW
200532,LB
200532,LM
200532,LWB
200536,LB
200536,LM
200536,LWB
200577,RB
200588,CB
200601,CM
200601,LM
200607,CB
200610,LW
200610,RW
200610,ST
200630,LM
200630,RM
200630,RWB
200641,CAM
200641,LM
200641,LW
200647,CF
200647,ST
200672,CB
200672,RB
200677,CB
200683,CM
200713,CDM
200713,CM
200715,GK
200724,CB
200724,LB
200724,RB
200726,GK
200746,CM
200752,CB
200752,LB
200759,CM
200759,LB
200759,LM
200773,CDM
200778,RB
200778,RWB
200798,GK
200818,CB
200826,ST
200841,RB
200855,RWB
200857,CDM
200857,CM
200875,ST
200888,CDM
200888,CM
200911,LM
200911,ST
200949,CF
200949,RM
201013,ST
201024,CB
201041,LB
201041,LWB
201042,RB
201043,CDM
201043,CM
201043,RM
201046,CAM
201046,CM
201049,CB
201066,CAM
201066,CDM
201066,CM
201073,CF
201073,LW
201093,CAM
201093,CM
201095,GK
201118,RB
201118,RWB
201119,LB
201122,CB
201122,RB
201136,RB
201143,CB
201144,CDM
201144,CM
201145,ST
201153,ST
201155,CAM
201155,CM
201163,CB
201163,RB
201215,LB
201215,LM
201215,LW
201223,CDM
201223,CM
201240,RM
201240,ST
201262,CAM
201262,CDM
201262,CM
201266,RW
201269,GK
201285,ST
201290,CAM
201290,CM
201290,ST
201303,CM
201303,LM
201303,RM
201304,LM
201304,ST
201305,CB
201315,CB
201325,GK
201335,ST
201342,CB
201342,RB
201343,CB
201368,CDM
201368,CM
201377,CB
201389,LB
201389,LM
201399,ST
201400,CAM
201400,CM
201400,RM
201417,RB
201417,RWB
201438,CDM
201438,CM
201454,LB
201455,CDM
201455,CM
201505,CB
201505,CDM
201508,CAM
201509,LB
201509,LM
201509,LWB
201510,LB
201510,LM
201510,RB
201519,CDM
201519,CM
201528,CB
201530,LB
201530,LM
201533,LM
201533,LW
201535,CB
201549,ST
201818,LM
201818,ST
201858,CAM
201858,LW
201858,ST
201860,CB
201862,CB
201877,CAM
201877,CM
201877,LM
201878,CAM
201878,CF
201878,LW
201884,LM
201884,RM
201887,CAM
201887,CDM
201893,CDM
201893,CM
201908,CB
201908,RB
201922,CB
201931,GK
201936,GK
201938,LM
201938,LW
201938,RM
201939,RB
201942,CF
201943,ST
201953,CM
201953,LB
201956,CB
201971,CAM
201971,RM
201976,GK
201982,RB
201982,RM
201982,RWB
201988,CB
201995,CAM
201995,LM
202002,CB
202017,LM
202024,CM
202035,CAM
202035,LM
202048,CB
202054,CB
202061,CAM
202061,CM
202076,LB
202076,RB
202078,CDM
202078,CM
202087,CB
202087,CDM
202087,CM
202088,LM
202088,RM
202089,GK
202101,LW
202101,RW
202107,CDM
202107,CM
202126,ST
202135,CM
202151,LB
202151,LWB
202157,LB
202166,CAM
202166,CM
202166,LW
202184,LM
202184,LW
202201,CB
202282,RM
202316,RB
202316,RM
202316,RWB
202325,CDM
202325,CM
202330,LM
202330,RM
202331,CDM
202331,CM
202335,CB
202335,CDM
202356,LB
202371,RB
202371,RM
202408,CB
202429,RB
202429,RM
202429,RWB
202445,CB
202451,CB
202477,CF
202477,LM
202489,CAM
202489,CM
202493,LM
202493,RM
202501,LB
202501,LWB
202515,RW
202515,ST
202539,ST
202541,RM
202541,RW
202556,CAM
202556,CF
202556,LW
202562,LB
202562,LM
202601,CB
202601,RB
202642,CDM
202642,CM
202648,CAM
202648,CM
202648,LM
202651,CAM
202651,RW
202652,LW
202652,RW
202676,CF
202676,ST
202678,RB
202678,RWB
202685,ST
202686,ST
202695,CB
202697,CB
202746,CDM
202746,CM
202750,CB
202789,GK
202811,GK
202848,CF
202848,ST
202849,CB
202851,RW
202851,ST
202857,RM
202857,RW
202858,LM
202858,ST
202873,GK
202882,LM
202882,RM
202884,LB
202884,LM
202884,RB
202934,CDM
202934,CM
202935,CB
202944,CDM
202944,CM
202986,CDM
202986,CM
203030,CB
203038,CAM
203038,RW
203042,GK
203067,CDM
203067,CM
203106,CM
203106,LM
203106,RM
203128,CDM
203128,CM
203177,LB
203177,RB
203177,RM
203263,CB
203276,CF
203276,ST
203280,ST
203299,RM
203362,CF
203362,LM
203376,CB
203393,CDM
203393,CM
203435,CB
203435,CDM
203483,CAM
203483,CM
203485,CB
203485,LB
203486,CF
203486,LM
203486,RM
203487,CB
203502,CAM
203502,LW
203502,ST
203505,LB
203505,LWB
203537,LM
203537,RM
203544,LB
203544,LM
203544,LWB
203551,RB
203570,CM
203570,LB
203570,RB
203574,CB
203581,RB
203590,CB
203604,CDM
203604,CM
203605,RB
203605,RM
203605,RWB
203624,CB
203624,RB
203633,CAM
203633,LM
203633,RM
203668,ST
203725,LM
203725,RM
203736,ST
203741,LB
203747,RB
203747,RWB
203751,LB
203751,LWB
203757,ST
203766,GK
203775,GK
203782,CDM
203782,CM
203783,RB
203796,CDM
203796,CM
203801,CB
203801,CDM
203801,CM
203841,GK
203843,RB
203864,CB
203864,CDM
203872,CF
203872,LM
203872,LW
203884,CB
203886,CDM
203886,CM
203888,CB
203890,RB
203895,CAM
203895,CF
203895,ST
203903,LW
203903,ST
203910,RM
203910,RW
203965,LM
203965,ST
203980,CAM
203980,LM
203980,RM
204024,CDM
204030,RB
204030,RM
204043,CB
204043,CDM
204043,RB
204077,ST
204082,CB
204092,GK
204102,CDM
204102,CM
204102,LM
204105,LB
204105,RB
204105,RWB
204120,GK
204121,CB
204125,LB
204125,RB
204193,CDM
204215,CAM
204215,RM
204215,RW
204226,ST
204233,LM
204233,RM
204234,GK
204240,GK
204246,GK
204247,LM
204247,RM
204259,RB
204277,CDM
204277,CM
204289,CAM
204289,LM
204289,ST
204308,GK
204311,CB
204320,CAM
204320,CM
204320,RM
204341,CB
204346,CAM
204346,LM
204346,RM
204352,CB
204355,CB
204355,LB
204366,LM
204366,LW
204366,ST
204372,CAM
204372,LW
204372,RM
204385,ST
204387,CAM
204387,CM
204387,ST
204399,LM
204399,ST
204401,RW
204401,RWB
204451,CB
204464,CDM
204464,CM
204472,RB
204472,RW
204485,RM
204485,RW
204493,CAM
204493,CDM
204493,CM
204496,CB
204497,CAM
204497,CM
204513,GK
204523,CAM
204523,CDM
204523,CM
204525,CB
204526,LM
204526,RM
204529,ST
204538,ST
204539,RB
204542,CDM
204542,CM
204542,LB
204549,GK
204555,CAM
204555,CM
204612,CDM
204612,CM
204614,LB
204638,CB
204639,CB
204688,CDM
204688,CM
204691,CAM
204691,CM
204691,RW
204699,LB
204699,RW
204713,RM
204713,ST
204738,RM
204738,RW
204757,LB
204757,LM
204760,LB
204771,CDM
204771,CM
204776,CB
204830,LM
204830,RM
204838,ST
204863,CM
204863,LM
204863,RM
204876,LB
204883,GK
204884,LB
204886,CB
204895,LW
204895,ST
204904,RB
204904,RWB
204923,CAM
204923,CDM
204923,CM
204935,GK
204936,CB
204943,ST
204963,RB
204966,GK
204970,RM
204970,RW
204977,LB
204977,RB
205069,LB
205069,LM
205070,CF
205070,RM
205070,RW
205073,CB
205073,CDM
205081,CAM
205081,RW
205081,ST
205083,CDM
205083,CM
205083,RM
205114,CAM
205114,LM
205114,RM
205124,ST
205175,ST
205186,GK
205188,ST
205192,CM
205192,LW
205192,RW
205193,CB
205194,CB
205201,CDM
205201,CM
205211,GK
205212,LM
205212,RM
205215,CB
205243,CB
205257,CAM
205257,LM
205295,CAM
205295,LM
205295,ST
205343,CM
205346,RB
205346,RWB
205347,CDM
205347,CM
205351,CAM
205351,LM
205360,ST
205362,CB
205364,LB
205365,LW
205365,RW
205369,CAM
205369,CDM
205369,CM
205391,CDM
205391,CM
205401,CAM
205401,LM
205402,CAM
205407,CM
205409,GK
205427,CAM
205427,RM
205427,ST
205431,ST
205452,CB
205478,ST
205493,LM
205493,RM
205498,CDM
205498,CM
205525,CAM
205525,LM
205530,GK
205531,CAM
205531,CF
205531,CM
205540,RM
205540,RW
205551,RB
205551,RM
205553,CB
205566,LB
205569,CM
205585,CDM
205585,CM
205600,CB
205601,LM
205601,RM
205630,RB
205632,LW
205632,RW
205633,CAM
205633,CM
205659,GK
205670,LW
205670,ST
205678,RM
205686,CDM
205686,CM
205693,ST
205705,CB
205726,CDM
205726,CM
205756,CB
205756,LB
205812,GK
205818,CDM
205818,CM
205849,GK
205850,ST
205855,CAM
205855,LM
205855,ST
205869,LM
205869,RM
205878,GK
205895,CDM
205895,CM
205897,CDM
205897,CM
205923,LB
205923,LWB
205934,LB
205942,GK
205943,CB
205953,CM
205955,LW
205955,ST
205965,RM
205965,RWB
205966,LM
205966,LW
205970,LW
205970,RM
205970,RW
205976,RM
205976,RW
205976,ST
205983,CDM
205983,CM
205985,ST
205988,LB
205989,CB
205989,CDM
205989,RB
205990,CDM
205995,LB
205995,LM
205995,LWB
205998,CAM
205998,CDM
205998,CM
206003,GK
206006,LB
206006,LM
206022,CB
206042,CAM
206042,CM
206058,LB
206058,RB
206075,GK
206085,LW
206085,RM
206085,RW
206098,CB
206098,RB
206098,RM
206104,ST
206109,CDM
206109,CM
206113,LM
206113,RM
206113,RW
206114,CM
206115,CDM
206115,CM
206124,CB
206124,CDM
206124,CM
206152,CDM
206152,CM
206159,RB
206160,CAM
206160,RW
206171,CM
206198,CB
206218,GK
206219,LB
206219,LWB
206222,CB
206222,LB
206225,LM
206254,CM
206254,RM
206272,GK
206304,CDM
206304,CM
206306,CM
206407,RB
206411,CAM
206411,CM
206413,CDM
206414,CB
206424,RB
206424,RM
206427,RB
206436,CAM
206436,CM
206463,CDM
206463,CM
206463,RB
206467,LW
206467,ST
206469,CAM
206469,RM
206469,ST
206493,CB
206506,CAM
206511,CDM
206511,CM
206516,CDM
206516,CM
206516,RM
206517,CAM
206517,CM
206517,LW
206518,LM
206518,LW
206518,ST
206534,ST
206544,CAM
206544,CM
206545,CDM
206545,CM
206553,CB
206561,GK
206585,GK
206590,CM
206590,LM
206590,RM
206591,RB
206591,RM
206594,LM
206594,LWB
206606,ST
206651,CM
206651,RM
206652,GK
206654,CB
206655,CAM
206655,CF
206655,ST
206662,CB
207410,CDM
207410,CM
207421,LM
207421,LW
207431,CB
207439,CDM
207439,CM
207441,LW
207441,ST
207444,RM
207448,RB
207448,RWB
207471,CAM
207471,CM
207471,LM
207472,LB
207472,LM
207472,RB
207494,CAM
207494,RM
207507,ST
207537,LB
207537,LM
207554,CAM
207554,CM
207554,LM
207555,CB
207557,GK
207562,ST
207566,CDM
207566,CM
207593,LB
207599,CB
207616,CB
207624,CB
207650,CB
207650,RB
207653,CAM
207653,LM
207653,RM
207664,ST
207676,LW
207676,RW
207676,ST
207683,GK
207707,CB
207707,LB
207715,CAM
207715,RM
207722,LM
207722,RM
207722,ST
207725,CB
207732,ST
207733,CDM
207733,CM
207790,CB
207791,ST
207807,LM
207862,CB
207863,CB
207865,CB
207865,CDM
207872,CAM
207872,RB
207872,RM
207876,RB
207877,ST
207894,CB
207894,CDM
207920,LB
207920,RB
207920,RM
207924,LB
207924,LM
207926,GK
207928,CAM
207928,CM
207929,LM
207929,RM
207935,GK
207939,CDM
207939,CM
207948,RM
207948,RW
207952,CB
207952,CDM
207960,LM
207960,ST
207993,LB
207993,LWB
207998,GK
208001,LB
208001,LM
208004,CB
208004,RB
208017,ST
208019,CB
208045,CAM
208045,RM
208047,CAM
208047,LM
208052,LB
208052,RB
208052,RWB
208053,CAM
208053,LM
208053,RM
208063,CM
208093,CF
208093,RM
208093,ST
208104,GK
208120,ST
208128,CAM
208128,LW
208135,CDM
208135,CM
208137,CDM
208137,CM
208141,CDM
208141,CM
208165,CB
208224,CAM
208224,LM
208230,CDM
208230,CM
208250,CAM
208250,RM
208250,ST
208260,CB
208260,CDM
208260,CM
208268,CAM
208268,CDM
208268,CM
208295,CB
208295,CM
208306,ST
208330,RM
208330,RW
208333,CB
208333,CDM
208333,CM
208334,CDM
208334,LB
208335,RB
208364,CB
208364,RB
208364,RM
208375,GK
208387,ST
208418,LM
208421,CM
208421,LB
208421,LM
208440,CB
208448,CAM
208448,CM
208449,CB
208449,RB
208450,CAM
208450,RM
208451,CAM
208451,LM
208451,ST
208459,LB
208461,CDM
208461,CM
208470,LB
208498,ST
208502,RB
208502,RWB
208509,RB
208520,LB
208520,RB
208522,CB
208522,LB
208525,CDM
208525,CM
208535,CM
208564,RB
208564,RM
208574,LM
208574,LWB
208596,ST
208615,CB
208618,RW
208620,CDM
208620,CM
208621,LM
208621,RM
208621,ST
208622,RM
208622,ST
208670,CAM
208670,RW
208700,LM
208700,LW
208719,GK
208722,LW
208769,CDM
208769,CM
208777,CM
208777,LW
208787,CAM
208787,CM
208808,CAM
208808,LW
208808,ST
208822,CAM
208822,CF
208822,LM
208830,ST
208835,CAM
208835,CM
208856,LB
208866,RB
208892,LB
208892,RB
208920,CB
209039,LM
209039,RM
209061,CF
209061,ST
209063,CB
209288,CAM
209289,LB
209289,LM
209297,CDM
209297,CM
209301,LB
209329,CB
209331,RW
209430,LM
209430,RB
209430,ST
209440,LM
209440,LW
209440,ST
209449,LW
209449,RW
209485,CAM
209485,CM
209499,CDM
209519,ST
209523,LM
209523,RM
209523,ST
209529,CAM
209529,LM
209529,LW
209547,CB
209618,CDM
209618,CM
209620,LB
209658,CDM
209658,CM
209660,LB
209660,RB
209669,CB
209673,CB
209695,CAM
209695,CM
209695,LM
209723,CAM
209723,RW
209723,ST
209744,LB
209780,CAM
209780,ST
209781,CM
209781,LB
209781,LM
209782,LW
209818,LB
209818,RB
209818,RWB
209839,CB
209846,LB
209846,LM
209846,LWB
209888,LM
209888,LW
209889,CM
209889,LB
209889,LM
209937,LB
209937,RB
209960,GK
209981,GK
209984,CDM
209987,GK
209989,CM
209990,GK
210007,CB
210008,CDM
210008,CM
210010,CDM
210010,CM
210016,CAM
210016,LW
210021,CAM
210021,CM
210035,LB
210047,CB
210118,LB
210118,LM
210118,LWB
210123,CDM
210123,CM
210123,RB
210126,CF
210126,LM
210136,RB
210212,LM
210212,RM
210243,RB
210257,GK
210259,ST
210281,CDM
210281,CM
210282,RB
210282,RM
210287,ST
210303,CDM
210303,CM
210313,CAM
210313,CM
210313,RM
210315,ST
210320,LB
210320,RB
210321,LM
210321,LW
210321,ST
210324,CM
210324,RM
210329,CAM
210329,CF
210358,GK
210372,RM
210372,RW
210377,CAM
210377,CM
210377,LW
210384,LB
210385,GK
210404,CAM
210404,ST
210406,CM
210406,LM
210411,CAM
210411,CM
210411,RM
210413,CB
210423,CAM
210434,RB
210438,RW
210441,ST
210450,CDM
210450,CM
210455,LWB
210463,LM
210463,ST
210468,CB
210475,CB
210475,CDM
210475,CM
210489,CAM
210489,RM
210514,RB
210520,CB
210520,RB
210533,CDM
210533,CM
210537,RM
210538,CAM
210538,CDM
210538,CM
210556,LW
210556,ST
210583,CAM
210583,CDM
210583,CM
210602,LM
210602,RM
210603,LB
210603,RB
210617,LM
210617,RM
210619,CDM
210619,CM
210625,RB
210635,CB
210635,LB
210648,CB
210665,CB
210665,LB
210665,LWB
210679,CB
210695,LB
210697,CDM
210697,CM
210719,CB
210722,ST
210723,LB
210723,LWB
210736,LB
210761,CAM
210761,CM
210761,LM
210802,CB
210814,CB
210828,CB
210831,CDM
210831,CM
210859,RB
210864,LB
210864,RB
210881,CM
210896,CAM
210896,CM
210897,CB
210897,RB
210923,GK
210930,CAM
210930,CM
210930,RM
210935,RM
210935,RW
210972,LB
210972,RB
210972,RWB
210985,CM
210985,LWB
211005,CB
211009,CB
211014,RB
211014,RM
211014,RWB
211017,CAM
211017,LM
211017,RM
211022,CAM
211022,LM
211022,ST
211048,ST
211061,CAM
211061,CM
211061,LM
211093,CDM
211093,CM
211098,CAM
211098,CM
211099,LW
211099,RW
211101,GK
211107,CB
211108,CF
211108,LW
211108,RW
211110,CAM
211110,CF
211117,CAM
211117,CM
211119,CAM
211119,LM
211119,RM
211147,RB
211147,RM
211231,CAM
211231,CDM
211231,CM
211241,LB
211241,RB
211256,LB
211263,CB
211267,LW
211267,RW
211269,CAM
211269,CM
211269,LM
211272,LB
211287,LM
211287,RM
211300,ST
211302,ST
211320,CB
211321,ST
211338,CM
211338,RM
211348,GK
211354,CM
211361,CDM
211361,CM
211365,RM
211368,LM
211381,LM
211382,CB
211382,CDM
211385,LB
211385,LM
211385,LWB
211408,CM
211448,CB
211461,ST
211506,CAM
211506,CDM
211506,CM
211513,CAM
211513,LM
211515,GK
211527,LM
211527,RM
211557,CB
211557,LB
211567,RB
211567,RM
211575,CDM
211575,CM
211591,ST
211592,CB
211626,RM
211626,RW
211672,LM
211672,RM
211688,LB
211703,CAM
211703,LM
211703,RM
211706,CDM
211706,CM
211736,LM
211736,RM
211736,ST
211738,GK
211748,CDM
211748,CM
211784,ST
211818,CAM
211818,CM
211826,CB
211826,LB
211844,LB
211856,CB
211857,CB
211857,LB
211862,RM
211862,ST
211879,CF
211879,CM
211879,RM
211891,LW
211891,ST
211899,ST
211927,CF
211927,RM
211966,RB
211966,RWB
211990,GK
211999,CB
211999,CDM
212023,ST
212035,LM
212035,RM
212035,ST
212067,GK
212096,CF
212096,LM
212100,LB
212107,ST
212118,CDM
212118,CM
212127,LM
212127,RM
212137,RB
212137,RM
212138,LM
212138,RM
212150,CM
212150,LM
212151,GK
212153,CDM
212153,CM
212183,LB
212183,LWB
212187,LB
212187,LM
212188,LW
212188,ST
212190,CB
212194,CAM
212194,CM
212196,LM
212196,LW
212197,GK
212198,CAM
212198,CM
212204,CB
212205,LM
212207,CAM
212207,CM
212212,CDM
212212,CM
212213,RB
212213,RW
212213,RWB
212214,LM
212214,RM
212218,CB
212219,CB
212219,CDM
212219,CM
212225,CB
212226,CAM
212226,CM
212232,ST
212240,CF
212240,LM
212240,ST
212242,CDM
212242,CM
212245,CM
212253,CB
212260,CF
212260,LM
212260,ST
212267,LM
212267,LW
212267,RW
212269,CB
212269,CDM
212269,CM
212287,CB
212300,CB
212350,LM
212350,ST
212369,CAM
212369,CM
212382,ST
212401,CB
212401,RB
212404,CAM
212404,RM
212406,GK
212419,CB
212424,CDM
212432,GK
212442,GK
212449,CB
212454,CM
212454,LM
212454,RM
212456,LW
212456,RW
212456,ST
212462,LB
212474,CAM
212474,CM
212476,CAM
212476,CDM
212476,CM
212478,ST
212491,LB
212491,LWB
212501,CB
212501,CM
212519,LM
212519,LW
212523,CAM
212523,RW
212591,CB
212602,CB
212607,CB
212613,LW
212613,RW
212613,ST
212616,CF
212616,CM
212618,ST
212622,CDM
212622,RB
212623,RW
212623,ST
212625,CAM
212625,CDM
212625,CM
212626,ST
212678,LB
212678,LM
212678,LWB
212680,LM
212680,LW
212692,CAM
212692,LM
212692,LW
212715,RM
212715,ST
212722,RB
212722,RWB
212755,CDM
212755,CM
212772,CB
212783,CDM
212783,RB
212783,RM
212791,CAM
212791,ST
212811,CDM
212811,CM
212814,CAM
212814,CM
212814,LM
212830,LW
212830,RW
212831,GK
212878,ST
212883,CDM
212883,RB
212886,CDM
212886,CM
212888,CB
212888,RB
212911,LM
212911,RM
212933,ST
212947,RM
212977,CB
212977,CDM
213000,CB
213010,RB
213010,RM
213010,RWB
213013,LW
213013,ST
213017,CB
213051,CDM
213051,CM
213063,CB
213063,CDM
213064,CB
213092,CDM
213092,CM
213095,ST
213106,CDM
213106,CM
213134,CM
213134,RM
213134,RW
213135,LW
213135,ST
213136,CB
213136,LB
213160,CDM
213160,CM
213160,LM
213203,CB
213203,RWB
213209,CDM
213209,CM
213228,CDM
213228,CM
213242,CDM
213242,CM
213272,GK
213296,CAM
213296,CDM
213296,CM
213302,RM
213302,RW
213317,LB
213317,LM
213331,CB
213345,LM
213345,LW
213345,RM
213367,CDM
213367,CM
213374,CB
213388,LM
213388,LW
213400,LB
213400,LM
213414,CB
213418,ST
213420,CAM
213420,LM
213439,CDM
213439,CM
213439,LM
213446,RB
213446,RWB
213480,CDM
213480,CM
213490,CAM
213497,CB
213498,CDM
213498,CM
213516,LW
213516,RW
213530,CDM
213536,GK
213565,CAM
213565,LM
213565,RM
213577,LM
213577,RM
213581,CB
213581,RB
213597,CAM
213597,CM
213612,CAM
213612,RM
213612,RW
213613,CAM
213613,CM
213619,ST
213620,ST
213629,CDM
213629,CM
213648,CDM
213654,CDM
213654,CM
213655,LM
213659,RB
213659,RWB
213661,CB
213666,CM
213689,CDM
213697,CB
213697,CDM
213697,CM
213699,LW
213699,ST
213705,LW
213705,RW
213711,CDM
213711,CM
213725,CDM
213725,CM
213729,GK
213732,GK
213746,RM
213750,LM
213750,LWB
213750,RM
213761,ST
213763,CDM
213763,CM
213777,CM
213798,CDM
213798,CM
213813,CM
213814,CF
213814,LW
213814,RW
213829,ST
213868,CB
213874,CDM
213874,CM
213884,CAM
213884,CM
213884,RM
213899,CB
213899,CDM
213899,CM
213917,CB
213928,LB
213928,LM
213937,CAM
213937,RM
213938,CB
213938,RB
213948,CAM
213948,CM
213948,RM
213949,ST
213951,GK
213956,RW
213956,RWB
213974,CDM
213974,CM
213991,CDM
213991,CM
214000,RW
214000,ST
214006,RM
214009,CDM
214026,LB
214026,LM
214031,CB
214040,LB
214047,CDM
214047,CM
214076,GK
214092,CAM
214092,ST
214096,ST
214097,CM
214097,LM
214111,RB
214129,CB
214132,CAM
214132,LM
214132,RM
214136,CB
214146,RB
214153,LM
214153,ST
214168,RM
214168,RW
214169,CB
214169,LB
214196,CB
214196,RB
214207,CF
214207,RM
214207,RW
214209,RM
214209,ST
214226,CB
214226,CDM
214226,CM
214302,CB
214302,CDM
214302,CM
214327,CAM
214327,LM
214327,LW
214350,ST
214366,CDM
214366,CM
214369,LM
214369,RM
214373,GK
214376,LB
214378,CAM
214378,CM
214378,LM
214394,CDM
214394,CM
214408,CB
214408,CDM
214415,GK
214421,LM
214421,RM
214429,CAM
214429,LW
214429,ST
214434,RM
214436,CB
214446,CB
214446,RB
214462,GK
214463,ST
214491,LM
214491,RM
214497,CAM
214497,CM
214515,RB
214543,CDM
214543,CM
214543,RB
214562,LW
214562,RW
214562,ST
214570,LM
214570,LW
214570,RM
214572,RB
214584,GK
214601,CB
214601,RB
214605,CDM
214605,CM
214609,CAM
214609,LM
214609,RM
214622,LB
214622,RB
214639,CB
214658,CDM
214658,CM
214659,CB
214662,LM
214662,RM
214665,CM
214665,LM
214665,LW
214680,GK
214685,LW
214685,ST
214692,CAM
214692,LM
214697,CB
214697,LB
214717,CDM
214717,CM
214718,LM
214718,LW
214763,CB
214766,CB
214771,CDM
214771,CM
214772,LB
214772,LWB
214777,ST
214781,ST
214817,LM
214817,ST
214838,LB
214838,RB
214854,RW
214874,RW
214882,CB
214906,LB
214911,LB
214937,LB
214947,CDM
214947,CM
214948,CB
214955,LB
214965,ST
214968,CAM
214968,CM
214968,LM
214971,CF
214971,LW
214971,ST
214973,CAM
214973,RM
214977,CDM
214977,CM
214979,GK
214983,GK
214986,CB
214986,RB
214988,CDM
214988,CM
214990,RB
214993,CB
214997,RM
214997,ST
215010,CB
215010,LB
215010,RB
215015,CB
215018,CAM
215018,LM
215018,ST
215020,CAM
215020,LM
215042,LM
215042,RM
215048,GK
215050,CB
215051,CB
215053,CB
215057,CDM
215057,CM
215061,ST
215062,ST
215064,ST
215069,GK
215070,CB
215071,LB
215071,LWB
215076,CDM
215076,CM
215079,CDM
215079,CM
215086,GK
215089,CDM
215089,CM
215103,LM
215103,LW
215107,LM
215107,RM
215107,RW
215108,RB
215117,CDM
215117,CM
215119,CDM
215119,CM
215123,GK
215132,GK
215135,CB
215144,LB
215144,LM
215144,LWB
215147,CB
215148,LB
215148,LWB
215155,CM
215155,RM
215157,CDM
215157,CM
215159,CAM
215159,LM
215159,RM
215160,LB
215160,LWB
215162,CB
215165,RM
215178,CB
215181,RB
215193,CDM
215193,CM
215202,LW
215213,GK
215223,GK
215227,CB
215228,CB
215245,LM
215245,ST
215251,GK
215259,RM
215259,RW
215259,ST
215262,ST
215270,CAM
215270,LM
215283,CB
215316,GK
215321,CB
215322,LB
215322,LWB
215330,CAM
215330,CF
215330,ST
215331,RB
215331,RWB
215333,ST
215334,ST
215353,ST
215363,GK
215368,RM
215368,RWB
215391,CDM
215391,CM
215399,CB
215399,RB
215414,GK
215417,GK
215421,ST
215433,CB
215437,RB
215441,ST
215443,RW
215449,LB
215449,LWB
215449,RM
215455,CAM
215455,ST
215466,CB
215480,LW
215480,RW
215502,GK
215522,GK
215531,RM
215553,ST
215556,CDM
215556,CM
215565,CB
215569,CB
215590,RM
215590,RW
215604,CB
215604,RB
215616,RM
215616,RW
215639,LM
215644,LM
215651,CB
215651,LB
215665,LB
215689,ST
215698,GK
215699,LB
215699,RB
215699,RM
215703,CB
215716,ST
215720,RB
215725,LB
215785,LM
215785,LW
215785,ST
215792,CB
215792,CDM
215798,LB
215798,LW
215798,LWB
215871,RM
215871,RW
215886,CAM
215886,ST
215892,CB
215892,RB
215914,CDM
215914,CM
215927,ST
215930,CB
215930,LB
215930,RB
215965,ST
215969,RB
215969,RWB
215970,LB
215985,GK
215995,CDM
215998,CAM
215998,CM
216033,GK
216036,LB
216054,CB
216054,CDM
216065,GK
216067,CB
216067,LB
216072,LB
216072,RB
216079,LW
216145,CB
216150,RB
216150,RWB
216158,RB
216175,GK
216182,CDM
216182,CM
216189,RB
216194,CM
216199,CB
216201,RW
216201,ST
216229,CAM
216229,LM
216229,ST
216245,GK
216247,CB
216247,LB
216258,LW
216258,RM
216258,ST
216260,RM
216266,RB
216267,LB
216275,RB
216275,RM
216275,RWB
216282,RB
216282,RWB
216283,LB
216286,CDM
216286,CM
216289,CAM
216289,CM
216289,LW
216302,LB
216320,CDM
216320,CM
216325,GK
216334,CAM
216334,CF
216334,CM
216335,CDM
216335,CM
216350,CDM
216350,CM
216351,CDM
216352,CDM
216352,CM
216354,CAM
216354,ST
216373,CB
216373,RB
216376,RB
216376,RM
216380,CM
216380,LB
216381,RB
216381,RM
216381,RWB
216385,CDM
216385,CM
216388,LM
216388,LW
216388,ST
216391,CF
216391,RM
216391,ST
216393,CM
216409,RM
216409,RW
216409,ST
216416,CB
216416,RB
216433,LW
216433,RW
216435,CDM
216435,CM
216437,CB
216447,LM
216447,RM
216451,CDM
216451,CM
216452,ST
216460,CB
216464,CAM
216464,CDM
216466,CB
216466,LB
216468,CAM
216468,CM
216468,RM
216475,LM
216475,RM
216475,ST
216481,CB
216482,CM
216482,LM
216482,RM
216497,CF
216497,LM
216497,ST
216520,CDM
216520,CM
216523,CB
216531,ST
216547,LM
216547,RM
216549,ST
216594,CAM
216594,RM
216594,ST
216605,LB
216605,RB
216627,ST
216643,RB
216643,RWB
216655,CB
216682,LW
216692,GK
216700,CAM
216700,RM
216706,CDM
216706,CM
216742,CB
216749,LW
216749,RW
216751,RB
216751,RM
216751,RWB
216774,CB
216778,CB
216778,CDM
216793,ST
216811,CB
216813,CDM
216813,CM
216814,CAM
216814,CM
216816,ST
216820,LM
216820,RM
216820,ST
216939,GK
217007,LM
217007,RM
217007,ST
