id,ime_in_priimek,državljanstvo,ocena,potencial,starost,iskanja,klub 
191687,Maicon,Brazil,78,78,32,3,Al Nassr
191688,Botía,Spain,71,71,31,0,Al Wehda
191740,Ander Herrera,Spain,79,79,31,3,Paris Saint-Germain
191783,Valon Berisha,Kosovo,74,74,27,2,Stade de Reims
191910,Kim Shin Wook,Korea Republic,76,76,32,2,Shanghai Greenland Shenhua
192009,José Antonio Rodríguez,Mexico,71,74,28,1,Club Deportivo Guadalajara
192012,Diego Reyes,Mexico,71,73,28,3,Tigres de la UANL
192026,Souza,Brazil,71,71,32,0,Ettifaq FC
192041,Néstor Araújo,Mexico,75,76,29,2,RC Celta
192045,Luis Rodríguez,Mexico,78,78,29,2,Tigres de la UANL
192064,Ricardo Goulart,China PR,80,80,29,1,Hebei China Fortune FC
192086,Alexandr Kokorin,Russia,78,78,29,4,Spartak Moscow
192087,Georgiy Schennikov,Russia,75,75,29,1,PFC CSKA Moscow
192091,Welinton,Brazil,73,73,31,2,Beşiktaş JK
192102,Niklas Hult,Sweden,72,72,30,0,Hannover 96
192119,Thibaut Courtois,Belgium,89,90,28,24,Real Madrid
192123,Chris Wood,New Zealand,78,78,28,5,Burnley
192129,Kristoffer Nordfeldt,Sweden,72,72,31,0,Gençlerbirliği SK
192146,Vladislav Ignatiev,Russia,74,74,33,0,Lokomotiv Moskva
192156,Rúben Lima,Portugal,72,72,31,0,Belenenses
192227,Shkodran Mustafi,Germany,78,80,28,1,Arsenal
192241,Rhyan Grant,Australia,71,71,29,0,Sydney FC
192242,Paul Lasne,France,72,72,31,2,Stade Brestois 29
192270,Johnathan,Brazil,77,77,30,0,Tianjin TEDA FC
192297,Giedrius Arlauskis,Lithuania,74,74,32,0,Al Shabab
192318,Mario Götze,Germany,81,81,28,50,PSV
192342,Edwin Cardona,Colombia,72,72,27,4,Boca Juniors
192349,Renatinho,Brazil,73,73,32,0,Guangzhou R&F FC
192350,Javier Aquino,Mexico,75,75,30,1,Tigres de la UANL
192358,Sergio Padt,Netherlands,75,75,30,1,FC Groningen
192362,Luciano Narsingh,Netherlands,72,72,30,1,Feyenoord
192366,Nicolás Otamendi,Argentina,79,79,32,6,SL Benfica
192371,Fabián Rinaudo,Argentina,75,75,33,3,Rosario Central
192373,Milton Caraglio,Argentina,72,72,31,0,Cruz Azul
192387,Ciro Immobile,Italy,87,87,30,11,Lazio
192397,Rafael,Brazil,74,74,30,0,Reading
192427,Júnior Caiçara,Brazil,76,76,31,0,İstanbul Başakşehir FK
192445,Daniel Ginczek,Germany,76,76,29,3,VfL Wolfsburg
192448,Marc-André ter Stegen,Germany,90,93,28,20,FC Barcelona
192449,Marco Stiepermann,Germany,71,71,29,0,Norwich City
192492,Fabián Orellana,Chile,79,79,34,3,R. Valladolid CF
192495,Romaine Sawyers,St Kitts Nevis,73,73,28,0,West Bromwich Albion
192505,Romelu Lukaku,Belgium,85,86,27,25,Inter
192537,Maxime Lestienne,Belgium,74,74,28,1,Standard de Liège
192546,Enda Stevens,Republic of Ireland,78,78,30,1,Sheffield United
192557,Marvin Plattenhardt,Germany,75,75,28,0,Hertha Berlin
192563,Bernd Leno,Germany,85,87,28,12,Arsenal
192565,Yunus Mallı,Turkey,74,74,28,3,VfL Wolfsburg
192567,Matthias Zimmermann,Germany,73,73,28,1,Fortuna Düsseldorf
192575,Emmanuel Badu,Ghana,73,73,29,0,Hellas Verona
192587,Artur Ioniță,Moldova,73,73,30,0,Benevento
192598,Ai Kesen,China PR,79,79,31,0,Guangzhou Evergrande Taobao FC
192608,Maxime Barthelmé,France,73,73,32,0,ESTAC Troyes
192612,Mato Jajalo,Bosnia & Herzegovina,74,74,32,1,Udinese
192613,Costel Pantilimon,Romania,71,71,33,1,Denizlispor
192620,Holger Badstuber,Germany,71,71,31,4,VfB Stuttgart
192622,Shane Duffy,Republic of Ireland,77,78,28,2,Celtic
192629,Iago Aspas,Spain,84,84,33,9,RC Celta
192638,Marcos Alonso,Spain,80,80,29,11,Chelsea
192641,Kevin Vogt,Germany,77,77,29,0,TSG Hoffenheim
192647,Gaëtan Charbonnier,France,73,73,31,1,Stade Brestois 29
192658,Sebastian Jung,Germany,71,71,30,1,Karlsruher SC
192663,Fabian Klos,Germany,76,76,32,0,DSC Arminia Bielefeld
192665,Andreas Luthe,Germany,74,74,33,1,1. FC Union Berlin
192667,Allan Nyom,Cameroon,75,75,32,2,Getafe CF
192678,Kike García,Spain,77,77,30,0,SD Eibar
192679,Escudero,Spain,80,80,31,3,Sevilla FC
192722,Romain Hamouma,France,76,76,33,2,AS Saint-Étienne
192774,Kostas Manolas,Greece,83,84,29,7,Napoli
192778,Ilombe Mboyo,Belgium,71,71,33,1,KV Kortrijk
192789,Mario Gaspar,Spain,80,80,29,1,Villarreal CF
192816,Leandro Cabrera,Uruguay,77,78,29,0,RCD Espanyol
192841,Emanuele Giaccherini,Italy,72,72,35,1,Chievo Verona
192883,Henrikh Mkhitaryan,Armenia,80,80,31,6,Roma
192906,Luis Miguel Rodríguez,Argentina,75,75,35,2,Colón de Santa Fe
192922,Oscar Jiménez,Mexico,71,71,32,1,Club América
192930,Alan Pulido,Mexico,72,72,29,5,Sporting Kansas City
192955,Mateusz Klich,Poland,74,74,30,6,Leeds United
192984,Koen Casteels,Belgium,83,85,28,6,VfL Wolfsburg
192985,Kevin De Bruyne,Belgium,91,91,29,45,Manchester City
192991,Cenk Tosun,Turkey,75,75,29,2,Everton
193011,Steve Cook,England,75,75,29,1,AFC Bournemouth
193041,Keylor Navas,Costa Rica,87,87,33,13,Paris Saint-Germain
193061,Roberto Pereyra,Argentina,77,77,29,1,Udinese
193062,Marvin Zeegelaar,Netherlands,71,71,30,0,Udinese
193080,De Gea,Spain,86,86,29,20,Manchester United
193082,Juan Cuadrado,Colombia,81,81,32,11,Juventus
193091,Bram Nuytinck,Netherlands,72,72,30,0,Udinese
193098,Christian Clemens,Germany,71,71,29,1,1. FC Köln
193105,Alphonse Areola,France,82,86,27,9,Fulham
193116,Maxime Gonalons,France,77,77,31,1,Granada CF
193133,Jens Stryger Larsen,Denmark,75,75,29,1,Udinese
193141,Iván Pillud,Argentina,75,75,34,0,Racing Club
193148,Vincent Le Goff,France,73,73,31,0,FC Lorient
193152,Herrerín,Spain,78,78,32,0,Athletic Club
193158,Davy Pröpper,Netherlands,76,76,29,3,Brighton & Hove Albion
193165,Jesús Corona,Mexico,84,84,27,15,FC Porto
193171,Jaume Costa,Spain,79,79,32,0,Villarreal CF
193182,Wes Foderingham,England,71,71,29,1,Sheffield United
193186,Neil Etheridge,Philippines,73,74,30,0,Birmingham City
193198,Nemanja Gudelj,Serbia,79,80,28,3,Sevilla FC
193201,Ömer Bayram,Turkey,72,72,29,1,Galatasaray SK
193241,Roberto Fernández,Paraguay,79,79,32,0,Free Agents
193247,Heinz Lindner,Austria,73,73,30,0,FC Basel 1893
193250,Marin Leovac,Croatia,71,71,32,0,Dinamo Zagreb
193254,Christopher Trimmel,Austria,75,75,33,0,1. FC Union Berlin
193264,Patrick Farkas,Austria,72,72,28,0,FC Red Bull Salzburg
193267,Fabio Pisacane,Italy,73,73,34,0,Cagliari
193277,Jörg Siebenhandl,Austria,71,71,30,0,SK Sturm Graz
193278,Chris Mavinga,DR Congo,71,71,29,1,Toronto FC
193283,Thomas Delaney,Denmark,81,81,29,6,Borussia Dortmund
193290,Martin Braithwaite,Denmark,76,76,29,12,FC Barcelona
193301,Alexandre Lacazette,France,83,83,29,10,Arsenal
193314,Aitor,Spain,83,83,29,3,Levante UD
193331,Karl Darlow,England,74,75,30,2,Newcastle United
193336,Vid Belec,Slovenia,72,73,30,0,Free Agents
193337,Joel Obi,Nigeria,71,71,29,2,Chievo Verona
193338,Mattia Destro,Italy,71,71,29,0,Genoa
193348,Xherdan Shaqiri,Switzerland,81,81,29,13,Liverpool
193352,Ricardo Rodríguez,Switzerland,78,78,28,2,Torino
193361,Roberto Soriano,Italy,77,77,29,1,Bologna
193408,Haris Seferović,Switzerland,75,75,28,1,SL Benfica
193422,Torgeir Børven,Norway,71,71,28,0,MKE Ankaragücü
193425,Hanno Behrens,Germany,71,71,30,0,1. FC Nürnberg
193429,Douglas,Brazil,71,71,30,0,Beşiktaş JK
193440,Nick Viergever,Netherlands,75,75,31,1,PSV
193468,Loris Benito,Switzerland,73,73,28,0,FC Girondins de Bordeaux
193469,Víctor Ruiz,Spain,77,77,31,4,Real Betis Balompié
193470,Arnaud Souquet,France,75,75,28,1,Montpellier Hérault SC
193474,Idrissa Gueye,Senegal,84,84,31,15,Paris Saint-Germain
193512,Milan Heča,Czech Republic,74,75,29,0,Sparta Praha
193525,Mário Fernandes,Russia,82,82,30,5,PFC CSKA Moscow
193532,Gary Medel,Chile,77,77,33,4,Bologna
193549,Shaun Hutchinson,England,73,73,29,0,Millwall
193561,Kelvin Leerdam,Netherlands,71,71,30,1,Seattle Sounders FC
193584,Guido Burgstaller,Austria,72,72,31,1,FC St. Pauli
193601,Germán Pezzella,Argentina,78,78,29,2,Fiorentina
193683,Xavier Chavalerin,France,77,77,29,0,Stade de Reims
193693,Cauê,Brazil,72,72,31,0,Belenenses
193698,Oliver Baumann,Germany,82,82,30,1,TSG Hoffenheim
193738,Younès Belhanda,Morocco,77,77,30,2,Galatasaray SK
193747,Koke,Spain,85,85,28,11,Atlético de Madrid
193794,Villalibre,Spain,71,78,23,0,Athletic Club
193844,Portillo,Spain,75,75,30,1,Getafe CF
193847,Osmar,Spain,75,75,32,0,FC Seoul
193849,Conor Hourihane,Republic of Ireland,75,75,29,0,Aston Villa
193850,Marco Calderoni,Italy,71,71,31,0,Lecce
193881,Filip Đuričić,Serbia,75,75,28,0,Sassuolo
193884,Sam Clucas,England,73,73,30,0,Stoke City
193886,Daniel Didavi,Germany,75,75,30,0,VfB Stuttgart
193887,Hernán Pérez,Paraguay,76,76,31,0,Free Agents
193900,Jack Hunt,England,71,71,29,0,Bristol City
193983,Andy Delort,Algeria,79,79,29,6,Montpellier Hérault SC
194015,Julian Börner,Germany,71,72,29,0,Sheffield Wednesday
194017,Andreas Weimann,Austria,71,71,29,0,Bristol City
194020,Pelé,Guinea Bissau,72,72,29,2,Rio Ave FC
194022,André Almeida,Portugal,80,80,30,5,SL Benfica
194053,Lasse Sobiech,Germany,71,71,29,0,FC Zürich
194063,Ján Greguš,Slovakia,71,71,29,1,Minnesota United FC
194079,Alper Potuk,Turkey,72,72,29,0,MKE Ankaragücü
194135,Leonardo,Brazil,73,73,34,0,Shandong Luneng TaiShan FC
194138,Andre Gray,England,74,74,29,1,Watford
194146,Kevin Long,Republic of Ireland,71,71,30,1,Burnley
194149,Fredrik Ulvestad,Norway,72,72,28,0,Djurgårdens IF
194201,Pontus Jansson,Sweden,75,76,29,0,Brentford
194209,Youssef El Arabi,Morocco,78,78,33,2,Olympiacos CFP
194222,Laguardia,Spain,78,78,30,2,D. Alavés
194229,Hugo Mallo,Spain,78,78,29,0,RC Celta
194333,Rafał Gikiewicz,Poland,77,77,33,1,FC Augsburg
194334,Daniel Ayala,Spain,71,72,29,1,Blackburn Rovers
194359,Yuto Nagatomo,Japan,75,75,34,3,Olympique de Marseille
194365,Shinji Okazaki,Japan,72,72,34,2,SD Huesca
194404,Neto,Brazil,82,82,31,11,FC Barcelona
194644,Montoya,Spain,77,77,29,1,Real Betis Balompié
194665,Stefan Ilsanker,Austria,74,74,31,3,Eintracht Frankfurt
194728,Ishak Belfodil,Algeria,77,77,28,2,TSG Hoffenheim
194730,Juan Carlos,Spain,72,72,32,0,Girona FC
194761,Borja García,Spain,75,75,29,0,SD Huesca
194765,Antoine Griezmann,France,87,87,29,49,FC Barcelona
194781,Renan Ribeiro,Brazil,74,74,30,1,Sporting CP
194794,Andriy Yarmolenko,Ukraine,77,77,31,3,West Ham United
194806,Craig Dawson,England,74,74,30,0,West Ham United
194845,Wahbi Khazri,Tunisia,76,76,29,2,AS Saint-Étienne
194846,Florent Hanin,France,73,73,30,0,Paris FC
194879,Sergi Enrich,Spain,77,77,30,0,SD Eibar
194904,Bill Hamid,United States,75,77,29,1,D.C. United
194911,Adrián,Spain,75,75,33,7,Liverpool
194932,Andros Townsend,England,77,77,29,6,Crystal Palace
194934,Dani Jiménez,Spain,72,72,30,1,AD Alcorcón
194947,Jagoš Vuković,Serbia,72,72,32,0,Qingdao Huanghai FC
194957,Phil Jones,England,75,75,28,7,Manchester United
194958,Aaron Mooy,Australia,76,76,30,3,Shanghai SIPG FC
194963,André,Brazil,72,72,30,0,Gaziantep FK
194979,Tiago Pinto,Portugal,75,75,32,0,MKE Ankaragücü
194996,Borja Bastón,Spain,73,73,28,3,CD Leganés
195033,Mathew Leckie,Australia,72,72,29,0,Hertha Berlin
195038,Florian Kainz,Austria,75,75,28,1,1. FC Köln
195087,Radosav Petrović,Serbia,73,73,31,0,UD Almería
195088,Miloš Ninković,Serbia,74,74,35,0,Sydney FC
195093,Willian José,Brazil,80,80,28,3,Real Sociedad
195096,Fransérgio,Brazil,77,77,30,0,SC Braga
195202,Tom Cairney,Scotland,76,76,29,0,Fulham
195272,Marco Davide Faraoni,Italy,74,74,29,1,Hellas Verona
195363,Jeffrey Bruma,Netherlands,74,74,28,3,VfL Wolfsburg
195365,Kevin Kampl,Slovenia,81,81,30,10,RB Leipzig
195412,Moisés,Brazil,72,72,32,0,Shandong Luneng TaiShan FC
195479,James Tavernier,England,75,75,28,1,Rangers FC
195586,Alfreð Finnbogason,Iceland,76,76,31,2,FC Augsburg
195668,Joel Robles,Spain,76,76,30,0,Real Betis Balompié
195671,Charlie Austin,England,72,72,31,1,West Bromwich Albion
195698,Cheick Doukouré,Ivory Coast,72,73,28,0,Levante UD
195859,Danny Ings,England,80,80,28,15,Southampton
195864,Paul Pogba,France,86,87,27,49,Manchester United
196069,José Pedro Fuenzalida,Chile,77,77,35,3,Universidad Católica
196073,Esteban Paredes,Chile,73,73,40,13,Colo-Colo
196143,Dorlan Pabón,Colombia,75,75,32,0,Rayados de Monterrey
196147,Giovanni Moreno,Colombia,77,77,34,0,Shanghai Greenland Shenhua
196150,Teófilo Gutiérrez,Colombia,74,74,35,0,Junior FC
196318,Serdar Gürler,Turkey,73,73,29,1,Antalyaspor
196432,Enzo Pérez,Argentina,80,80,34,1,River Plate
196801,Mexer,Mozambique,74,74,32,0,FC Girondins de Bordeaux
196889,Simone Verdi,Italy,77,77,28,2,Torino
196916,Marlon Pack,England,73,73,29,1,Cardiff City
196934,Oğuzhan Özyakup,Turkey,75,75,28,9,Beşiktaş JK
196942,Iñigo Pérez,Spain,74,74,32,0,CA Osasuna
196952,Jake Bidwell,England,71,72,27,0,Swansea City
196978,Callum Wilson,England,78,78,28,7,Newcastle United
197031,Marvin Ducksch,Germany,72,75,26,0,Hannover 96
197061,Joel Matip,Cameroon,83,84,29,12,Liverpool
197083,Daniel Caligiuri,Italy,77,77,32,1,FC Augsburg
197136,Karim Ansarifard,Iran,71,71,30,0,AEK Athens
197170,Kadeem Harris,England,71,71,27,0,Sheffield Wednesday
197225,Nicolás Lodeiro,Uruguay,79,79,31,4,Seattle Sounders FC
197231,Khouma Babacar,Senegal,72,73,27,1,Alanyaspor
197242,Grzegorz Krychowiak,Poland,80,80,30,3,Lokomotiv Moskva
197300,Abdallah Said,Egypt,72,72,35,0,Free Agents
197402,Anselmo,Brazil,76,76,31,0,Al Wehda
197439,Felix Wiedwald,Germany,71,71,30,1,FC Emmen
197445,David Alaba,Austria,84,84,28,32,FC Bayern München
197641,Benjamin Leroy,France,71,71,31,0,AC Ajaccio
197655,Sebastián Coates,Uruguay,81,81,30,4,Sporting CP
197688,Gabriel Silva,Brazil,74,74,29,1,AS Saint-Étienne
197756,Jordan Ayew,Ghana,77,77,29,4,Crystal Palace
197777,Jacopo Sala,Italy,72,72,28,0,La Spezia
197781,Isco,Spain,84,84,28,43,Real Madrid
197786,Giulio Donati,Italy,73,73,30,0,AC Monza
197813,Jonas Martin,France,73,73,30,0,Stade Rennais FC
197837,Dedryck Boyata,Belgium,77,77,29,3,Hertha Berlin
197851,Akihiro Hayashi,Japan,71,71,33,0,F.C. Tokyo
197853,Serge Aurier,Ivory Coast,80,80,27,12,Tottenham Hotspur
197860,Ivo Pinto,Portugal,72,72,30,0,Rio Ave FC
197890,Arribas,Spain,71,71,31,0,R. Oviedo
197891,Juanmi,Spain,75,75,27,1,Real Betis Balompié
197900,Pajtim Kasami,Switzerland,73,73,28,2,FC Basel 1893
197937,Papy Djilobodji,Senegal,72,72,31,0,Gaziantep FK
197948,Florian Lejeune,France,77,78,29,2,D. Alavés
197965,Pizzi,Portugal,84,84,31,4,SL Benfica
197971,Denis Alibec,Romania,72,72,29,0,Kayserispor
198006,Jens Toornstra,Netherlands,75,75,31,1,Feyenoord
198009,Mattia Perin,Italy,82,84,27,4,Genoa
198023,Ximo Navarro,Spain,74,74,30,0,D. Alavés
198031,Sérgio Oliveira,Portugal,78,78,28,3,FC Porto
198032,Dan Burn,England,75,76,28,8,Brighton & Hove Albion
198039,Mark Gillespie,England,71,74,28,1,Newcastle United
198077,Patrick Herrmann,Germany,78,78,29,1,Borussia Mönchengladbach
198113,Marco Höger,Germany,72,72,31,0,1. FC Köln
198118,Josuha Guilavogui,France,78,78,30,3,VfL Wolfsburg
198128,Caio,United Arab Emirates,73,73,30,1,Al Ain FC
198129,Celso Ortíz,Paraguay,78,78,31,1,Rayados de Monterrey
198136,Antonino Ragusa,Italy,72,72,30,0,Brescia
198138,Rodrigo Rojas,Paraguay,71,71,32,0,Club Olimpia
198140,Rogelio Funes Mori,Argentina,78,78,29,4,Rayados de Monterrey
198141,Bartra,Spain,80,80,29,3,Real Betis Balompié
198150,Guerrero,Spain,72,72,30,0,Nottingham Forest
198164,Jonathan Viera,Spain,81,81,31,1,Beijing Sinobo Guoan FC
198176,Stefan de Vrij,Netherlands,84,85,28,7,Inter
198177,Bart Schenkeveld,Netherlands,71,72,29,0,Panathinaikos FC
198190,Greg Cunningham,Republic of Ireland,71,71,29,0,Cardiff City
198200,Benjamin Stambouli,France,77,77,30,2,FC Schalke 04
198213,Leandro Damião,Brazil,73,73,31,2,Kawasaki Frontale
198218,Marcelo Cirino,Brazil,71,71,28,0,Chongqing Dangdai Lifan FC SWM Team
198219,Lorenzo Insigne,Italy,85,85,29,17,Napoli
198230,Germán,Spain,78,78,33,0,Granada CF
198240,Raúl Carnero,Spain,73,73,31,1,R. Valladolid CF
198329,Rodrigo,Spain,82,82,29,12,Leeds United
198331,Matěj Vydra,Czech Republic,73,73,28,1,Burnley
198347,Franco Jara,Argentina,75,75,32,0,FC Dallas
198348,Mathias Autret,France,72,72,29,0,AJ Auxerre
198352,Stefan Bell,Germany,73,73,29,2,1. FSV Mainz 05
198355,Steve Clark,United States,73,73,34,1,Portland Timbers
198368,Tomás Pina,Spain,76,76,33,1,D. Alavés
198420,Majeed Waris,Ghana,72,72,29,0,RC Strasbourg Alsace
198429,Stanislav Tecl,Czech Republic,72,72,30,2,SK Slavia Praha
198451,Dani Rodríguez,Spain,75,75,32,0,RCD Mallorca
198455,Johan Larsson,Sweden,71,71,30,0,IF Elfsborg
198474,Guitián,Spain,71,71,30,0,R. Zaragoza
198489,James McClean,Republic of Ireland,71,71,31,0,Stoke City
198504,Josip Drmić,Switzerland,72,72,28,1,Norwich City
198513,Cláudio Ramos,Portugal,77,80,28,0,FC Porto
198554,Anthony Ujah,Nigeria,71,71,30,4,1. FC Union Berlin
198581,Óscar Murillo,Colombia,76,76,32,1,Pachuca
198599,Martin Linnes,Norway,74,74,29,0,Galatasaray SK
198614,Raúl Navas,Spain,73,73,32,0,CA Osasuna
198617,Dominick Drexler,Germany,73,73,30,1,1. FC Köln
198625,Scott Bain,Scotland,72,74,28,1,Celtic
198640,Zakaria Labyad,Morocco,74,75,27,5,Ajax
198653,Martín Silva,Uruguay,73,73,37,0,Club Libertad
198657,Jonas Svensson,Norway,78,79,27,2,AZ
198658,Fredrik Midtsjø,Norway,78,79,27,0,AZ
198683,Manolo Gabbiadini,Italy,75,75,28,1,Sampdoria
198706,Luis Alberto,Spain,85,85,28,10,Lazio
198710,James Rodríguez,Colombia,82,82,29,36,Everton
198715,Sergio León,Spain,74,74,31,0,Levante UD
198717,Wilfried Zaha,Ivory Coast,83,83,27,22,Crystal Palace
198719,Nathan Redmond,England,78,79,26,4,Southampton
198783,Javier Toledo,Argentina,71,71,34,0,Atlético Tucumán
198784,Alex Oxlade-Chamberlain,England,79,80,27,3,Liverpool
198817,Romain Amalfitano,France,72,72,31,0,Dijon FCO
198836,Vincent Pajot,France,72,72,30,0,FC Metz
198843,Aday Benítez,Spain,73,73,32,0,Girona FC
198857,Simone Romagnoli,Italy,71,71,30,0,Empoli
198861,Nampalys Mendy,France,76,76,28,5,Leicester City
198914,Jan Hochscheidt,Germany,72,72,33,0,FC Erzgebirge Aue
198946,Danilo D'Ambrosio,Italy,77,77,32,3,Inter
198949,Kévin Malcuit,France,78,78,29,3,Napoli
198950,Pablo Sarabia,Spain,81,81,28,14,Paris Saint-Germain
198951,Cédric Bakambu,DR Congo,80,80,29,5,Beijing Sinobo Guoan FC
198962,Raïs M'Bolhi,Algeria,71,71,34,0,Ettifaq FC
198970,Jonathan Mensah,Ghana,71,71,30,2,Columbus Crew SC
198991,Sergey Petrov,Russia,76,76,29,0,Free Agents
199000,Trent Sainsbury,Australia,72,73,28,0,KV Kortrijk
199005,Mathew Ryan,Australia,80,82,28,3,Brighton & Hove Albion
199042,Charles Aránguiz,Chile,83,83,31,4,Bayer 04 Leverkusen
199060,Georgios Tzavellas,Greece,74,74,32,1,Alanyaspor
199069,Vincent Aboubakar,Cameroon,74,74,28,5,Beşiktaş JK
199103,Alexander Domínguez,Ecuador,72,72,33,1,Vélez Sarsfield
199110,Luis Muriel,Colombia,79,79,29,8,Atalanta
199131,Anton Tinnerholm,Sweden,73,73,29,2,New York City FC
199151,Juan Iturbe,Paraguay,73,73,27,3,Club Universidad Nacional
199157,Luna,Spain,72,72,29,1,Girona FC
199158,Sergio Álvarez,Spain,75,76,28,0,SD Eibar
199170,Bryan Dabo,Burkina Faso,72,72,28,1,Benevento
199183,Kim Bo Kyung,Korea Republic,74,74,31,0,Jeonbuk Hyundai Motors
199189,Ross Barkley,England,78,81,26,11,Aston Villa
199191,Dennis Appiah,France,71,71,28,0,FC Nantes
199206,Domagoj Vida,Croatia,78,78,31,2,Beşiktaş JK
199231,Kim Tae Hwan,Korea Republic,71,71,31,0,Ulsan Hyundai Horang-i
199236,Hong Chul,Korea Republic,72,72,30,0,Ulsan Hyundai Horang-i
199244,Lukáš Hejda,Czech Republic,72,72,30,0,Viktoria Plzeň
199247,Álex Fernández,Spain,74,74,28,0,Cádiz CF
199254,João Pedro,Brazil,79,79,28,5,Cagliari
199266,Ji Dong Won,Korea Republic,71,71,29,1,1. FSV Mainz 05
199274,Ilja Nestorovski,North Macedonia,73,73,30,0,Udinese
199282,Amir Abrashi,Albania,71,71,30,0,Sport-Club Freiburg
199288,Anthony Losilla,France,71,71,34,0,VfL Bochum 1848
199304,Danilo,Brazil,79,79,29,12,Juventus
199313,Abdoulaye Bamba,Ivory Coast,74,74,30,0,Angers SCO
199339,Manuel Riemann,Germany,72,72,32,0,VfL Bochum 1848
199353,Marc Rzatkowski,Germany,72,72,30,2,New York Red Bulls
199354,Lucas Pérez,Spain,79,79,32,1,D. Alavés
199383,Timm Klose,Switzerland,72,72,32,2,FC Basel 1893
199386,Bryan Linssen,Netherlands,74,74,30,1,Feyenoord
199387,Pablo Chavarría,Argentina,71,71,32,0,Málaga CF
199392,Matías Aguirregaray,Uruguay,72,72,31,0,Al Fateh
199393,Nicolas Pallois,France,78,78,33,1,FC Nantes
199412,Sebá,Brazil,72,72,28,0,Al Shabab
199416,Ibai Gómez,Spain,79,79,30,0,Athletic Club
199417,Harun Tekin,Turkey,74,74,31,2,Fenerbahçe SK
199419,Yoann Court,France,76,76,30,1,SM Caen
199422,Jordy Clasie,Netherlands,74,74,29,1,AZ
199434,Dušan Tadić,Serbia,83,83,31,12,Ajax
199439,Michael Gregoritsch,Austria,74,77,26,2,FC Augsburg
199451,Wissam Ben Yedder,France,84,84,30,17,AS Monaco
199482,Anthony Lopes,Portugal,83,84,30,6,Olympique Lyonnais
199493,Diego Mariño,Spain,74,75,30,0,R. Sporting
199503,Granit Xhaka,Switzerland,80,81,28,12,Arsenal
199504,Taulant Xhaka,Albania,72,72,29,0,FC Basel 1893
199556,Marco Verratti,Italy,86,87,27,12,Paris Saint-Germain
199559,Roberto Inglese,Italy,74,74,28,0,Parma
199561,Nolito,Spain,76,76,34,1,RC Celta
199562,Ilie Sánchez,Spain,74,74,29,1,Sporting Kansas City
199564,Sergi Roberto,Spain,83,83,28,20,FC Barcelona
199570,Jesús Sánchez,Mexico,72,72,31,0,Club Deportivo Guadalajara
199572,Ciprian Deac,Romania,72,72,34,1,FC CFR 1907 Cluj
199575,Jordi Masip,Spain,81,81,31,1,R. Valladolid CF
199576,Oriol Romeu,Spain,75,75,29,2,Southampton
199577,Sergi Gómez,Spain,77,78,28,1,Sevilla FC
199580,Connor Goldson,England,72,75,27,0,Rangers FC
199602,John Guidetti,Sweden,74,74,28,4,D. Alavés
199626,André André,Portugal,75,75,31,2,Vitória Guimarães
199633,Matthew Lowton,England,75,75,31,0,Burnley
199641,Matz Sels,Belgium,79,81,28,1,RC Strasbourg Alsace
199652,Dennis Praet,Belgium,76,78,26,5,Leicester City
199667,Ramiro Funes Mori,Argentina,75,76,29,0,Villarreal CF
199669,Leandro González Pirez,Argentina,73,74,28,2,Inter Miami CF
199715,Vitolo,Spain,79,79,30,8,Atlético de Madrid
199729,Daniel Royer,Austria,74,74,30,1,New York Red Bulls
199737,Wilson Eduardo,Angola,76,76,30,0,Al Ain FC
199745,Erik Sviatchenko,Denmark,76,77,29,3,FC Midtjylland
199763,Bartosz Bereszyński,Poland,72,72,28,2,Sampdoria
199767,Marco van Ginkel,Netherlands,75,76,27,3,PSV
199776,Luca Caldirola,Italy,71,71,29,0,Benevento
199779,André Hoffmann,Germany,72,73,27,1,Fortuna Düsseldorf
199781,Romain Métanire,Madagascar,73,73,30,0,Minnesota United FC
199792,Anders Christiansen,Denmark,75,75,30,1,Malmö FF
199800,Zakarya Bergdich,Morocco,73,73,31,0,Denizlispor
199813,Gernot Trauner,Austria,74,75,28,0,LASK
199823,Campaña,Spain,80,81,27,4,Levante UD
199827,Pablo Hernández,Chile,75,75,34,0,Club Atlético Independiente
199829,Timor,Spain,72,72,31,0,Getafe CF
199833,Lars Unnerstall,Germany,77,78,30,1,PSV
199845,Francesco Acerbi,Italy,83,83,32,5,Lazio
199852,Nicolai Jørgensen,Denmark,74,74,29,1,Feyenoord
199897,Nicolas Höfler,Germany,72,72,30,0,Sport-Club Freiburg
199904,Jesse Joronen,Finland,75,77,27,0,Brescia
199909,Pavao Pervan,Austria,74,74,32,0,VfL Wolfsburg
199912,Sonny Kittel,Germany,73,73,27,0,Hamburger SV
199914,Allan,Brazil,83,83,29,7,Everton
199915,Lewis Dunk,England,78,80,28,2,Brighton & Hove Albion
199935,Rômulo,Brazil,76,76,30,0,Shijiazhuang Ever Bright F.C.
199960,Jamie Paterson,England,71,71,28,0,Bristol City
199982,Joachim Van Damme,Belgium,71,71,29,1,KV Mechelen
199986,Arbilla,Spain,75,75,33,0,SD Eibar
199987,Jasper Cillessen,Netherlands,81,81,31,1,Valencia CF
200054,Pedro Obiang,Equatorial Guinea,76,77,28,2,Sassuolo
200094,Magomed Ozdoev,Russia,77,78,27,2,Free Agents
200104,Heung Min Son,Korea Republic,88,88,28,57,Tottenham Hotspur
200108,Nicolai Boilesen,Denmark,71,71,28,0,FC København
