id,ime_in_priimek,državljanstvo,ocena,potencial,starost,iskanja,klub
150477,Romain Salin,France,72,72,36,0,Stade Rennais FC
150516,Lukas Podolski,Germany,75,75,35,12,Antalyaspor
150724,Joe Hart,England,75,75,33,15,Tottenham Hotspur
151508,Steven Davis,Northern Ireland,71,71,35,2,Rangers FC
152567,Alexander Tettey,Norway,71,71,34,1,Norwich City
152718,Ricardo Vaz Tê,Portugal,71,71,34,0,Portimonense SC
152729,Piqué,Spain,86,86,33,29,FC Barcelona
152747,Aaron Lennon,England,73,73,33,3,Kayserispor
152879,Mark Noble,England,75,75,33,1,West Ham United
152908,Ashley Young,England,77,77,35,7,Inter
152912,José Sand,Argentina,75,75,40,1,Club Atlético Lanús
152916,Rubens Sambueza,Argentina,76,76,36,1,Deportivo Toluca
152993,Renato Civelli,Argentina,72,72,37,0,Club Atlético Huracán
152996,Per Ciljan Skjelbred,Norway,76,76,33,0,Rosenborg BK
152997,Darío Cvitanich,Argentina,74,74,36,0,Racing Club
152999,Rodrigo Palacio,Argentina,75,75,38,0,Bologna
153048,Magnus Wolff Eikrem,Norway,75,75,30,1,Molde FK
153079,Sergio Agüero,Argentina,89,89,32,27,Manchester City
153177,Mauro Zárate,Argentina,76,76,33,0,Boca Juniors
153244,André-Pierre Gignac,France,81,81,34,5,Tigres de la UANL
153260,Hilton,Brazil,77,77,43,4,Montpellier Hérault SC
153275,Jean-Louis Leca,France,74,74,35,1,RC Lens
154472,Jorge Molina,Spain,78,78,38,1,Granada CF
154950,Yuriy Zhirkov,Russia,77,77,37,0,Free Agents
155355,Lee Chung Yong,Korea Republic,73,73,32,1,Ulsan Hyundai Horang-i
155862,Sergio Ramos,Spain,89,89,34,35,Real Madrid
155871,Bartosz Białkowski,Poland,72,72,33,0,Millwall
155887,Michael Bradley,United States,75,75,33,3,Toronto FC
155946,Robert Snodgrass,Scotland,77,77,33,1,West Ham United
156253,Joe Lewis,England,72,72,33,1,Aberdeen
156412,José de Jesús Corona,Mexico,75,75,39,1,Cruz Azul
156432,Guillaume Hoarau,France,74,74,36,1,FC Sion
156433,Alfredo Talavera,Mexico,74,74,38,1,Club Universidad Nacional
156437,Philipp Pentke,Germany,73,73,35,1,TSG Hoffenheim
156483,Cristian Lucchetti,Argentina,71,71,42,0,Atlético Tucumán
156519,Héctor Herrera,Mexico,81,81,30,10,Atlético de Madrid
156616,Franck Ribéry,France,81,81,37,14,Fiorentina
156623,Ibrahim Sissoko,Ivory Coast,72,72,28,0,BB Erzurumspor
156713,Andreas Granqvist,Sweden,72,72,35,1,Helsingborgs IF
157301,Ryan Babel,Netherlands,77,77,33,3,Galatasaray SK
157304,Thomas Vermaelen,Belgium,75,75,34,1,Vissel Kobe
157479,Pedro López,Spain,72,72,36,1,SD Huesca
157481,Raúl Albiol,Spain,82,82,35,1,Villarreal CF
157492,Jorge Valdivia,Chile,71,71,37,2,Mazatlán Fútbol Club
157665,Scott Dann,England,73,73,33,1,Crystal Palace
157960,Manuel Fernandes,Portugal,77,77,34,1,Kayserispor
158023,Lionel Messi,Argentina,93,93,33,125,FC Barcelona
158121,Benoît Costil,France,79,79,33,0,FC Girondins de Bordeaux
158133,Jefferson Farfán,Peru,77,77,36,4,Free Agents
158138,Aaron Hunt,Germany,73,73,34,4,Hamburger SV
158144,Salva Sevilla,Spain,74,74,36,0,RCD Mallorca
158625,Dante,Brazil,76,76,37,4,OGC Nice
158626,Mathieu Debuchy,France,78,78,35,2,AS Saint-Étienne
158777,Philipp Tschauner,Germany,72,72,34,1,RB Leipzig
158800,Willem Janssen,Netherlands,73,73,34,0,FC Utrecht
158856,Christian Gentner,Germany,74,74,35,0,1. FC Union Berlin
158942,Léo Matos,Brazil,73,73,34,1,PAOK
158956,Julio Barroso,Argentina,71,71,35,1,Colo-Colo
158963,Lucas Biglia,Argentina,77,77,34,0,Fatih Karagümrük SK
159145,Bafétimbi Gomis,France,80,80,35,5,Al Hilal
159175,Alaixys Romao,Togo,76,76,36,1,En Avant Guingamp
159261,Fabio Quagliarella,Italy,80,80,37,6,Sampdoria
159413,Muriqui,Brazil,73,73,34,0,Shijiazhuang Ever Bright F.C.
160741,David Abraham,Argentina,76,76,34,2,Eintracht Frankfurt
161648,Hatem Ben Arfa,France,75,75,33,25,FC Girondins de Bordeaux
161663,Sebastián Viera,Uruguay,73,73,37,0,Junior FC
161754,Javi García,Spain,75,75,33,1,Boavista FC
161805,Valon Behrami,Switzerland,75,75,35,1,Genoa
161956,Borja Valero,Spain,77,77,35,0,Fiorentina
162131,Llorente,Spain,75,75,35,1,Napoli
162220,Sinan Bolat,Turkey,75,75,32,0,KAA Gent
162221,Faris Haroun,Belgium,73,73,35,0,Royal Antwerp FC
162240,Mousa Dembélé,Belgium,80,80,33,1,Guangzhou R&F FC
162280,Adrian Mierzejewski,Poland,75,75,33,0,Guangzhou R&F FC
162297,Daniele Padelli,Italy,73,73,35,2,Inter
162328,Remko Pasveer,Netherlands,74,74,36,0,Vitesse
162329,Karim El Ahmadi,Morocco,74,74,35,0,Al Ittihad
162347,João Moutinho,Portugal,83,83,34,4,Wolverhampton Wanderers
162369,Vedad Ibišević,Bosnia & Herzegovina,75,75,36,2,FC Schalke 04
162409,Giuseppe Rossi,Italy,73,73,33,3,Real Salt Lake
162835,Samir Handanovič,Slovenia,88,88,36,8,Inter
162895,Cesc Fàbregas,Spain,76,76,33,3,AS Monaco
163050,Billy Sharp,England,73,73,34,0,Sheffield United
163083,Rolando,Portugal,73,73,35,0,SC Braga
163155,Ben Foster,England,79,79,37,5,Watford
163186,Guillaume Gillet,Belgium,71,71,36,2,Sporting Charleroi
163261,Phil Bardsley,Scotland,73,73,35,0,Burnley
163264,Tom Heaton,England,77,77,34,1,Aston Villa
163301,Jonathan Orozco,Mexico,77,77,34,1,Club Tijuana
163488,David Limberský,Czech Republic,74,74,37,0,Viktoria Plzeň
163489,Andrea Consigli,Italy,81,81,33,0,Sassuolo
163587,Kasper Schmeichel,Denmark,84,84,33,9,Leicester City
163665,Daniel Congré,France,74,74,35,0,Montpellier Hérault SC
163705,Steve Mandanda,France,83,83,35,4,Olympique de Marseille
163806,Sergio,Spain,74,74,34,2,RC Celta
163925,Alessandro Diamanti,Italy,75,75,37,0,Western United FC
164082,Adriano,Brazil,74,74,36,7,KAS Eupen
164240,Thiago Silva,Brazil,85,85,36,24,Chelsea
164376,Graziano Pellè,Italy,75,75,35,0,Shandong Luneng TaiShan FC
164459,Sebastian Larsson,Sweden,73,73,35,1,AIK
164464,Bradley Wright-Phillips,England,74,74,35,1,LAFC
164468,Gary Cahill,England,77,77,34,5,Crystal Palace
164471,Xisco,Spain,71,71,34,0,Club Atlético Peñarol
164477,John Obi Mikel,Nigeria,72,72,33,1,Stoke City
164484,Johan Dahlin,Sweden,72,72,34,0,Malmö FF
164505,Brad Guzan,United States,71,71,36,3,Atlanta United FC
164835,Łukasz Fabiański,Poland,81,81,35,10,West Ham United
164859,Theo Walcott,England,76,76,31,13,Southampton
164878,Lior Refaelov,Israel,73,73,34,0,Royal Antwerp FC
164959,Stéphane M'Bia,Cameroon,73,73,34,0,Shanghai Greenland Shenhua
164994,Jakub Błaszczykowski,Poland,74,74,34,1,Wisła Kraków
165109,Ștefan Radu,Romania,78,78,34,0,Lazio
165153,Karim Benzema,France,89,89,32,28,Real Madrid
165229,Laurent Koscielny,France,79,79,35,2,FC Girondins de Bordeaux
165247,Itumeleng Khune,South Africa,73,73,33,2,Kaizer Chiefs
165429,Claudiu Keșerü,Romania,73,73,33,2,Free Agents
165517,Fernando Gago,Argentina,73,73,34,1,Vélez Sarsfield
165526,Gabriel Paletta,Italy,71,71,34,0,AC Monza
165531,Ismael Sosa,Argentina,74,74,33,0,Pachuca
165536,Gustavo Cabral,Argentina,74,74,35,0,Pachuca
165735,Brad Jones,Australia,72,72,38,0,Al Nassr
165769,Cássio,Brazil,74,74,40,0,Al Taawoun
166072,Danilo,Brazil,74,74,36,0,Bologna
166074,Bebé,Portugal,71,71,30,0,Rayo Vallecano
166706,Martin Škrtel,Slovakia,78,78,35,3,İstanbul Başakşehir FK
167397,Falcao,Colombia,80,80,34,9,Galatasaray SK
167431,Gonzalo Castro,Germany,73,73,33,2,VfB Stuttgart
167495,Manuel Neuer,Germany,89,89,34,31,FC Bayern München
167524,Jorge Torres Nilo,Mexico,72,72,32,0,Tigres de la UANL
167532,Adrián Aldrete,Mexico,73,73,32,0,Cruz Azul
167575,Anton Shunin,Russia,73,73,33,0,Free Agents
167601,Kirill Nababkin,Russia,71,71,34,0,PFC CSKA Moscow
167628,Stéphane Ruffier,France,80,80,34,0,AS Saint-Étienne
167664,Gonzalo Higuaín,Argentina,83,83,32,5,Inter Miami CF
167665,Nicolás Domingo,Argentina,75,75,35,1,Club Olimpia
167669,Federico Higuaín,Argentina,73,73,36,1,Inter Miami CF
167753,Adem Büyük,Turkey,73,73,33,1,Yeni Malatyaspor
167933,Yannick Cahuzac,France,71,71,35,1,RC Lens
167948,Hugo Lloris,France,87,87,33,12,Tottenham Hotspur
167959,Marcelo Grohe,Brazil,74,74,33,1,Al Ittihad
168354,Emiliano Viviano,Italy,74,74,34,1,Fatih Karagümrük SK
